Model,Task,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Original RF,Classification (Delay Detection),0.847953063202284,0.4622905027932961,0.007135773724830768,0.014054604900004247,0.6386283338020359
Balanced RF,Classification (Delay Detection),0.6288404620341025,0.21772589345920432,0.5568706075108869,0.3130537006289918,0.6382198127484902
Tuned RF,Classification (Delay Detection),0.6325925246863459,0.21836336567585604,0.5501875565903506,0.31264241087835354,0.6366783291103503
