Model,Task,Test_RMSE,Test_MAE,Test_R2,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
MLP Regressor,Regression,34.37148709405936,19.80300571733681,0.02465868618378375,,,,,
MLP Classifier,Binary Classification,,,,0.8475208884465282,0.5,0.00015030490423430386,0.0003005194693684798,0.6139685468162658
